n	r	m
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18729,"start":6307,"end":6308,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"정의함"},"type":"relationship"}	{"id":6308,"labels":["Entity"],"properties":{"name":"순보유잔고"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18730,"start":6307,"end":6308,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"정의함"},"type":"relationship"}	{"id":6308,"labels":["Entity"],"properties":{"name":"순보유잔고"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18731,"start":6307,"end":6308,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"정의함"},"type":"relationship"}	{"id":6308,"labels":["Entity"],"properties":{"name":"순보유잔고"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18732,"start":6307,"end":40,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":40,"labels":["Entity"],"properties":{"name":"대통령령"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18733,"start":6307,"end":40,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":40,"labels":["Entity"],"properties":{"name":"대통령령"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18734,"start":6307,"end":40,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":40,"labels":["Entity"],"properties":{"name":"대통령령"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18735,"start":6307,"end":40,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":40,"labels":["Entity"],"properties":{"name":"대통령령"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18756,"start":6307,"end":6088,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":6088,"labels":["Entity"],"properties":{"name":"금융위원회 고시"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18757,"start":6307,"end":6088,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":6088,"labels":["Entity"],"properties":{"name":"금융위원회 고시"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18758,"start":6307,"end":6088,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":6088,"labels":["Entity"],"properties":{"name":"금융위원회 고시"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":18759,"start":6307,"end":6088,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":6088,"labels":["Entity"],"properties":{"name":"금융위원회 고시"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36935,"start":6307,"end":8682,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.98,"type":"위임함"},"type":"relationship"}	{"id":8682,"labels":["Entity"],"properties":{"name":"대법원규칙"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36936,"start":6307,"end":8682,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.98,"type":"위임함"},"type":"relationship"}	{"id":8682,"labels":["Entity"],"properties":{"name":"대법원규칙"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36937,"start":6307,"end":8682,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.98,"type":"위임함"},"type":"relationship"}	{"id":8682,"labels":["Entity"],"properties":{"name":"대법원규칙"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36938,"start":6307,"end":8682,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.98,"type":"위임함"},"type":"relationship"}	{"id":8682,"labels":["Entity"],"properties":{"name":"대법원규칙"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36939,"start":6307,"end":10174,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.9,"type":"정의함"},"type":"relationship"}	{"id":10174,"labels":["Entity"],"properties":{"name":"공시송달의 방법"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36940,"start":6307,"end":10174,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.9,"type":"정의함"},"type":"relationship"}	{"id":10174,"labels":["Entity"],"properties":{"name":"공시송달의 방법"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36941,"start":6307,"end":10174,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.9,"type":"정의함"},"type":"relationship"}	{"id":10174,"labels":["Entity"],"properties":{"name":"공시송달의 방법"},"type":"node"}
{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}	{"id":36942,"start":6307,"end":10174,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.9,"type":"정의함"},"type":"relationship"}	{"id":10174,"labels":["Entity"],"properties":{"name":"공시송달의 방법"},"type":"node"}
{"id":6308,"labels":["Entity"],"properties":{"name":"순보유잔고"},"type":"node"}		
{"id":6309,"labels":["Entity"],"properties":{"name":"순보유잔고가 대통령령으로 정하는 수준 이상인 자"},"type":"node"}	{"id":18736,"start":6309,"end":6310,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6310,"labels":["Entity"],"properties":{"name":"순보유잔고의 내용을 금융위원회와 거래소에 보고"},"type":"node"}
{"id":6309,"labels":["Entity"],"properties":{"name":"순보유잔고가 대통령령으로 정하는 수준 이상인 자"},"type":"node"}	{"id":18737,"start":6309,"end":6310,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6310,"labels":["Entity"],"properties":{"name":"순보유잔고의 내용을 금융위원회와 거래소에 보고"},"type":"node"}
{"id":6309,"labels":["Entity"],"properties":{"name":"순보유잔고가 대통령령으로 정하는 수준 이상인 자"},"type":"node"}	{"id":18738,"start":6309,"end":6310,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6310,"labels":["Entity"],"properties":{"name":"순보유잔고의 내용을 금융위원회와 거래소에 보고"},"type":"node"}
{"id":6309,"labels":["Entity"],"properties":{"name":"순보유잔고가 대통령령으로 정하는 수준 이상인 자"},"type":"node"}	{"id":18739,"start":6309,"end":6310,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6310,"labels":["Entity"],"properties":{"name":"순보유잔고의 내용을 금융위원회와 거래소에 보고"},"type":"node"}
{"id":6310,"labels":["Entity"],"properties":{"name":"순보유잔고의 내용을 금융위원회와 거래소에 보고"},"type":"node"}		
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18740,"start":6311,"end":6312,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"참조함"},"type":"relationship"}	{"id":6312,"labels":["Entity"],"properties":{"name":"제180조제1항"},"type":"node"}
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18741,"start":6311,"end":6312,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"참조함"},"type":"relationship"}	{"id":6312,"labels":["Entity"],"properties":{"name":"제180조제1항"},"type":"node"}
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18742,"start":6311,"end":6312,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"참조함"},"type":"relationship"}	{"id":6312,"labels":["Entity"],"properties":{"name":"제180조제1항"},"type":"node"}
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18743,"start":6311,"end":6312,"label":"RELATION","properties":{"article":"제180조의2","confidence":0.95,"type":"참조함"},"type":"relationship"}	{"id":6312,"labels":["Entity"],"properties":{"name":"제180조제1항"},"type":"node"}
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18744,"start":6311,"end":6313,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6313,"labels":["Entity"],"properties":{"name":"순보유잔고에 관한 사항 보고"},"type":"node"}
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18745,"start":6311,"end":6313,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6313,"labels":["Entity"],"properties":{"name":"순보유잔고에 관한 사항 보고"},"type":"node"}
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18746,"start":6311,"end":6313,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6313,"labels":["Entity"],"properties":{"name":"순보유잔고에 관한 사항 보고"},"type":"node"}
{"id":6311,"labels":["Entity"],"properties":{"name":"매도자"},"type":"node"}	{"id":18747,"start":6311,"end":6313,"label":"RELATION","properties":{"article":"제180조의2","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6313,"labels":["Entity"],"properties":{"name":"순보유잔고에 관한 사항 보고"},"type":"node"}
{"id":6312,"labels":["Entity"],"properties":{"name":"제180조제1항"},"type":"node"}	{"id":40492,"start":6312,"end":11448,"label":"RELATION","properties":{"article":"제443조제1항제10호","confidence":0.9,"type":"금지함"},"type":"relationship"}	{"id":11448,"labels":["Entity"],"properties":{"name":"공매도 제한 위반 금융투자상품 매도 행위"},"type":"node"}
{"id":6313,"labels":["Entity"],"properties":{"name":"순보유잔고에 관한 사항 보고"},"type":"node"}		
{"id":6314,"labels":["Entity"],"properties":{"name":"순보유잔고 산정에 관한 자료 보관"},"type":"node"}		
{"id":6315,"labels":["Entity"],"properties":{"name":"금융위원회에 대한 자료 제출"},"type":"node"}		
{"id":6316,"labels":["Entity"],"properties":{"name":"제180조의3"},"type":"node"}	{"id":18760,"start":6316,"end":4639,"label":"RELATION","properties":{"article":"제180조의3","confidence":0.85,"type":"참조함"},"type":"relationship"}	{"id":4639,"labels":["Entity"],"properties":{"name":"제180조"},"type":"node"}
{"id":6316,"labels":["Entity"],"properties":{"name":"제180조의3"},"type":"node"}	{"id":18761,"start":6316,"end":4639,"label":"RELATION","properties":{"article":"제180조의3","confidence":0.85,"type":"참조함"},"type":"relationship"}	{"id":4639,"labels":["Entity"],"properties":{"name":"제180조"},"type":"node"}
{"id":6316,"labels":["Entity"],"properties":{"name":"제180조의3"},"type":"node"}	{"id":18762,"start":6316,"end":6307,"label":"RELATION","properties":{"article":"제180조의3","confidence":0.85,"type":"참조함"},"type":"relationship"}	{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}
{"id":6316,"labels":["Entity"],"properties":{"name":"제180조의3"},"type":"node"}	{"id":18763,"start":6316,"end":6307,"label":"RELATION","properties":{"article":"제180조의3","confidence":0.85,"type":"참조함"},"type":"relationship"}	{"id":6307,"labels":["Entity"],"properties":{"name":"제180조의2"},"type":"node"}
{"id":6316,"labels":["Entity"],"properties":{"name":"제180조의3"},"type":"node"}	{"id":41238,"start":6316,"end":11789,"label":"RELATION","properties":{"article":"제180조의3","confidence":0.92,"type":"근거함"},"type":"relationship"}	{"id":11789,"labels":["Entity"],"properties":{"name":"공시 의무 위반 및 허위 공시에 대한 벌칙"},"type":"node"}
{"id":6316,"labels":["Entity"],"properties":{"name":"제180조의3"},"type":"node"}	{"id":41239,"start":6316,"end":11789,"label":"RELATION","properties":{"article":"제180조의3","confidence":0.92,"type":"근거함"},"type":"relationship"}	{"id":11789,"labels":["Entity"],"properties":{"name":"공시 의무 위반 및 허위 공시에 대한 벌칙"},"type":"node"}
{"id":6317,"labels":["Entity"],"properties":{"name":"대통령령으로 정하는 경우 (공정한 가격형성을 저해하지 아니하는 경우)"},"type":"node"}	{"id":18764,"start":6317,"end":6318,"label":"RELATION","properties":{"article":"제180조의4","confidence":0.9,"type":"예외로함"},"type":"relationship"}	{"id":6318,"labels":["Entity"],"properties":{"name":"증권 취득 제한 규정"},"type":"node"}
{"id":6317,"labels":["Entity"],"properties":{"name":"대통령령으로 정하는 경우 (공정한 가격형성을 저해하지 아니하는 경우)"},"type":"node"}	{"id":18765,"start":6317,"end":6318,"label":"RELATION","properties":{"article":"제180조의4","confidence":0.9,"type":"예외로함"},"type":"relationship"}	{"id":6318,"labels":["Entity"],"properties":{"name":"증권 취득 제한 규정"},"type":"node"}
{"id":6317,"labels":["Entity"],"properties":{"name":"대통령령으로 정하는 경우 (공정한 가격형성을 저해하지 아니하는 경우)"},"type":"node"}	{"id":18766,"start":6317,"end":6318,"label":"RELATION","properties":{"article":"제180조의4","confidence":0.9,"type":"예외로함"},"type":"relationship"}	{"id":6318,"labels":["Entity"],"properties":{"name":"증권 취득 제한 규정"},"type":"node"}
{"id":6318,"labels":["Entity"],"properties":{"name":"증권 취득 제한 규정"},"type":"node"}		
{"id":6319,"labels":["Entity"],"properties":{"name":"제180조의5"},"type":"node"}	{"id":18767,"start":6319,"end":6320,"label":"RELATION","properties":{"article":"제180조의5","confidence":0.85,"type":"상위조항"},"type":"relationship"}	{"id":6320,"labels":["Entity"],"properties":{"name":"제180조의5 제1항"},"type":"node"}
{"id":6319,"labels":["Entity"],"properties":{"name":"제180조의5"},"type":"node"}	{"id":41254,"start":6319,"end":11803,"label":"RELATION","properties":{"article":"제180조의5","confidence":0.95,"type":"요구함"},"type":"relationship"}	{"id":11803,"labels":["Entity"],"properties":{"name":"대차거래정보 보관 및 자료제출 의무"},"type":"node"}
{"id":6320,"labels":["Entity"],"properties":{"name":"제180조의5 제1항"},"type":"node"}		
{"id":6321,"labels":["Entity"],"properties":{"name":"대통령령으로 정하는 상장증권을 차입공매도하려는 법인"},"type":"node"}	{"id":18768,"start":6321,"end":6322,"label":"RELATION","properties":{"article":"제180조의6","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6322,"labels":["Entity"],"properties":{"name":"임직원이 공매도 관련 직무를 수행할 때 준수하여야 할 기준 및 절차 마련"},"type":"node"}
{"id":6321,"labels":["Entity"],"properties":{"name":"대통령령으로 정하는 상장증권을 차입공매도하려는 법인"},"type":"node"}	{"id":18769,"start":6321,"end":6322,"label":"RELATION","properties":{"article":"제180조의6","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6322,"labels":["Entity"],"properties":{"name":"임직원이 공매도 관련 직무를 수행할 때 준수하여야 할 기준 및 절차 마련"},"type":"node"}
{"id":6321,"labels":["Entity"],"properties":{"name":"대통령령으로 정하는 상장증권을 차입공매도하려는 법인"},"type":"node"}	{"id":18770,"start":6321,"end":6323,"label":"RELATION","properties":{"article":"제180조의6","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6323,"labels":["Entity"],"properties":{"name":"무차입공매도 방지를 위한 전산설비 구축"},"type":"node"}
{"id":6321,"labels":["Entity"],"properties":{"name":"대통령령으로 정하는 상장증권을 차입공매도하려는 법인"},"type":"node"}	{"id":18771,"start":6321,"end":6323,"label":"RELATION","properties":{"article":"제180조의6","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6323,"labels":["Entity"],"properties":{"name":"무차입공매도 방지를 위한 전산설비 구축"},"type":"node"}
{"id":6322,"labels":["Entity"],"properties":{"name":"임직원이 공매도 관련 직무를 수행할 때 준수하여야 할 기준 및 절차 마련"},"type":"node"}		
{"id":6323,"labels":["Entity"],"properties":{"name":"무차입공매도 방지를 위한 전산설비 구축"},"type":"node"}		
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":18772,"start":6324,"end":40,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":40,"labels":["Entity"],"properties":{"name":"대통령령"},"type":"node"}
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":18773,"start":6324,"end":40,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.95,"type":"위임함"},"type":"relationship"}	{"id":40,"labels":["Entity"],"properties":{"name":"대통령령"},"type":"node"}
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":18774,"start":6324,"end":6325,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.9,"type":"정의함"},"type":"relationship"}	{"id":6325,"labels":["Entity"],"properties":{"name":"무차입공매도 방지조치"},"type":"node"}
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":18775,"start":6324,"end":6325,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.9,"type":"정의함"},"type":"relationship"}	{"id":6325,"labels":["Entity"],"properties":{"name":"무차입공매도 방지조치"},"type":"node"}
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":18776,"start":6324,"end":6319,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.8,"type":"참조함"},"type":"relationship"}	{"id":6319,"labels":["Entity"],"properties":{"name":"제180조의5"},"type":"node"}
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":18777,"start":6324,"end":6319,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.8,"type":"참조함"},"type":"relationship"}	{"id":6319,"labels":["Entity"],"properties":{"name":"제180조의5"},"type":"node"}
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":39643,"start":6324,"end":10973,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.8,"type":"정의함"},"type":"relationship"}	{"id":10973,"labels":["Entity"],"properties":{"name":"증권선물위원회의 요구 권한 및 불응 시 제재"},"type":"node"}
{"id":6324,"labels":["Entity"],"properties":{"name":"제180조의6"},"type":"node"}	{"id":39644,"start":6324,"end":10973,"label":"RELATION","properties":{"article":"제180조의6","confidence":0.8,"type":"정의함"},"type":"relationship"}	{"id":10973,"labels":["Entity"],"properties":{"name":"증권선물위원회의 요구 권한 및 불응 시 제재"},"type":"node"}
{"id":6325,"labels":["Entity"],"properties":{"name":"무차입공매도 방지조치"},"type":"node"}		
{"id":6326,"labels":["Entity"],"properties":{"name":"「민법」"},"type":"node"}		
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18782,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18783,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18784,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18785,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18786,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18787,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18788,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18789,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18790,"start":6327,"end":6328,"label":"RELATION","properties":{"article":"제182조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6328,"labels":["Entity"],"properties":{"name":"집합투자기구의 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18791,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18792,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18793,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18794,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18795,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18796,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18797,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18798,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18799,"start":6327,"end":6329,"label":"RELATION","properties":{"article":"제182조","confidence":0.95,"type":"승인을요구함"},"type":"relationship"}	{"id":6329,"labels":["Entity"],"properties":{"name":"금융위원회에 등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18841,"start":6327,"end":6345,"label":"RELATION","properties":{"article":"제182조제8항","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6345,"labels":["Entity"],"properties":{"name":"등록 사항 변경 시 금융위원회에 변경등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18842,"start":6327,"end":6345,"label":"RELATION","properties":{"article":"제182조제8항","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6345,"labels":["Entity"],"properties":{"name":"등록 사항 변경 시 금융위원회에 변경등록"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18956,"start":6327,"end":6379,"label":"RELATION","properties":{"article":"제184조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6379,"labels":["Entity"],"properties":{"name":"신탁업자에게 집합투자재산의 보관·관리업무 위탁"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18957,"start":6327,"end":6379,"label":"RELATION","properties":{"article":"제184조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6379,"labels":["Entity"],"properties":{"name":"신탁업자에게 집합투자재산의 보관·관리업무 위탁"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18958,"start":6327,"end":6379,"label":"RELATION","properties":{"article":"제184조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6379,"labels":["Entity"],"properties":{"name":"신탁업자에게 집합투자재산의 보관·관리업무 위탁"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18962,"start":6327,"end":6381,"label":"RELATION","properties":{"article":"제184조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6381,"labels":["Entity"],"properties":{"name":"투자매매업자 또는 투자중개업자와 판매계약 또는 위탁판매계약 체결"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18963,"start":6327,"end":6381,"label":"RELATION","properties":{"article":"제184조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6381,"labels":["Entity"],"properties":{"name":"투자매매업자 또는 투자중개업자와 판매계약 또는 위탁판매계약 체결"},"type":"node"}
{"id":6327,"labels":["Entity"],"properties":{"name":"집합투자업자 또는 투자회사등"},"type":"node"}	{"id":18964,"start":6327,"end":6381,"label":"RELATION","properties":{"article":"제184조","confidence":1,"type":"요구함"},"type":"relationship"}	{"id":6381,"labels":["Entity"],"properties":{"name":"투자매매업자 또는 투자중개업자와 판매계약 또는 위탁판매계약 체결"},"type":"node"}
